Date,Category,Brand,Day_of_Week,Holiday_Indicator,Past_Purchase_Trends,Price,Discount,Competitor_Price,Sales_Quantity
26/09/24,Automotive,BrandA,3,0,17.9,462.3,33.96,359.45,227
26/09/24,Automotive,BrandA,3,0,66.3,321.28,24.76,49.47,370
26/09/24,Automotive,BrandA,3,0,14.4,74.85,32.19,245.11,299
26/09/24,Automotive,BrandA,3,0,34.7,469.12,43.68,144.08,426
22/09/24,Automotive,BrandA,6,1,93.5,221.76,36.79,478.07,470
22/09/24,Automotive,BrandA,6,1,82.2,321.07,46.44,137.6,448
22/09/24,Automotive,BrandA,6,1,19,263.28,12.41,418.7,31
18/09/24,Automotive,BrandA,2,0,81.4,454.74,20.18,135.07,135
10/9/2024,Automotive,BrandA,1,0,13.3,81.31,42.01,255.84,349
10/9/2024,Automotive,BrandA,1,0,28.4,194.2,15.18,323.72,276
10/9/2024,Automotive,BrandA,1,0,69.5,206.07,29.2,218.67,141
6/9/2024,Automotive,BrandA,4,0,53.6,464.73,22.64,236.79,156
2/9/2024,Automotive,BrandA,0,0,7.2,153.95,14.46,83.5,491
29/08/24,Automotive,BrandA,3,0,85.9,204.73,38.04,146.03,443
25/08/24,Automotive,BrandA,6,1,96.4,446.56,26.6,416.87,480
21/08/24,Automotive,BrandA,2,0,54.7,427.34,29.7,372.2,348
13/08/24,Automotive,BrandA,1,0,52.1,110.68,9.34,182,94
9/8/2024,Automotive,BrandA,4,0,47.4,309.08,26.81,255.6,248
9/8/2024,Automotive,BrandA,4,0,24.3,247.16,10.53,45.42,319
5/8/2024,Automotive,BrandA,0,0,99,361.95,46.5,135.71,472
5/8/2024,Automotive,BrandA,0,0,19.7,466.63,47.16,324.38,247
5/8/2024,Automotive,BrandA,0,0,73.3,400.81,14.69,143.24,406
1/8/2024,Automotive,BrandA,3,0,49.4,165.9,43.81,343.3,199
28/07/24,Automotive,BrandA,6,1,46.6,487.94,23.93,359.87,299
28/07/24,Automotive,BrandA,6,1,27.7,215.42,18.11,446.08,
24/07/24,Automotive,BrandA,2,0,51.3,235.77,37.4,144.55,169
20/07/24,Automotive,BrandA,5,0,6.3,497.54,14.37,69.71,246
16/07/24,Automotive,BrandA,1,0,63.4,63.02,25.1,118.22,436
12/7/2024,Automotive,BrandA,4,0,35.3,168.96,33.84,93.54,
8/7/2024,Automotive,BrandA,0,0,85,438.11,7.17,239.49,190
4/7/2024,Automotive,BrandA,3,0,32.5,251.85,25.85,46.69,273
30/06/24,Automotive,BrandA,6,1,54.3,419.98,10.31,194.33,145
30/06/24,Automotive,BrandA,6,1,87.7,68.7,37.14,287.35,413
26/06/24,Automotive,BrandA,2,0,6.7,135.09,19.29,336.88,440
22/06/24,Automotive,BrandA,5,0,59.2,428.05,6.82,246.31,107
14/06/24,Automotive,BrandA,4,0,71.7,327.43,34.31,184.25,326
10/6/2024,Automotive,BrandA,0,0,6.2,148.44,22.79,411.2,387
6/6/2024,Automotive,BrandA,3,0,49.2,73.57,49.34,163.04,78
2/6/2024,Automotive,BrandA,6,1,63.4,108.79,40.09,291.67,228
2/6/2024,Automotive,BrandA,6,1,91,324.77,19.34,271.69,86
29/05/24,Automotive,BrandA,2,0,21.2,483.92,47.27,306.02,307
29/05/24,Automotive,BrandA,2,0,55.8,179.85,30.99,281.04,404
25/05/24,Automotive,BrandA,5,0,45,91.17,20.97,108.37,431
25/05/24,Automotive,BrandA,5,0,61,264.98,43.47,133.23,116
25/05/24,Automotive,BrandA,5,0,50.5,456.91,40.09,419.33,213
17/05/24,Automotive,BrandA,4,0,74.7,242.08,45.35,380.58,
17/05/24,Automotive,BrandA,4,0,94.4,123.31,47.26,285.53,143
13/05/24,Automotive,BrandA,0,0,18.1,176.86,44.41,140.91,226
1/5/2024,Automotive,BrandA,2,0,67,460.33,8.33,86.22,368
1/5/2024,Automotive,BrandA,2,0,11.3,233.49,43.19,245.48,382
23/04/24,Automotive,BrandA,1,0,11,113.19,5.38,426.03,124
19/04/24,Automotive,BrandA,4,0,53.5,89.67,25.84,306.44,305
19/04/24,Automotive,BrandA,4,0,22.1,210.36,11.75,373.73,445
19/04/24,Automotive,BrandA,4,0,8.8,138.52,36.9,307.97,421
11/4/2024,Automotive,BrandA,3,0,71.7,68.51,44.77,305.73,27
7/4/2024,Automotive,BrandA,6,1,21.3,311.5,34.5,149.81,119
30/03/24,Automotive,BrandA,5,0,89.7,182.31,49.27,163.07,433
30/03/24,Automotive,BrandA,5,0,99.6,65.95,25.78,337.67,209
14/03/24,Automotive,BrandA,3,0,56.9,74.45,15.99,367.13,158
14/03/24,Automotive,BrandA,3,0,70.2,187.74,5.47,189.66,407
10/3/2024,Automotive,BrandA,6,1,75.4,319.67,25.87,440.48,77
10/3/2024,Automotive,BrandA,6,1,16.2,430.1,45.87,108.17,46
10/3/2024,Automotive,BrandA,6,1,35.2,162.53,41.73,82.74,177
6/3/2024,Automotive,BrandA,2,0,50.5,308.16,45.02,475.26,462
2/3/2024,Automotive,BrandA,5,0,17.6,371.09,41.89,325.35,288
27/02/24,Automotive,BrandA,1,0,47.1,474.69,19.92,162.41,298
23/02/24,Automotive,BrandA,4,0,20.1,256.15,26.37,442.93,256
3/2/2024,Automotive,BrandA,5,0,94.8,397.08,34.29,207.75,48
30/01/24,Automotive,BrandA,1,0,39.2,193.04,37.37,312.91,170
18/01/24,Automotive,BrandA,3,0,63.8,454.87,37.02,110.26,206
18/01/24,Automotive,BrandA,3,0,34.6,88.54,40.86,244.46,187
18/01/24,Automotive,BrandA,3,0,35.1,372.08,22.18,361.1,86
14/01/24,Automotive,BrandA,6,1,40,486.24,19.99,114.7,45
14/01/24,Automotive,BrandA,6,1,44.7,319.4,7.87,392.83,358
14/01/24,Automotive,BrandA,6,1,90.2,324.96,46.89,421.81,429
14/01/24,Automotive,BrandA,6,1,24.4,474.79,27.63,103.65,332
10/1/2024,Automotive,BrandA,2,0,32.8,413.07,20.58,195.38,224
10/1/2024,Automotive,BrandA,2,0,6,340.72,38.85,239.94,231
6/1/2024,Automotive,BrandA,5,0,88.2,208.35,47.03,366.37,492
6/1/2024,Automotive,BrandA,5,0,7.4,283.1,21.97,82.21,289
29/12/23,Automotive,BrandA,4,0,96.7,89.48,39.65,377.1,23
29/12/23,Automotive,BrandA,4,0,69.3,208.05,8.68,201.58,109
25/12/23,Automotive,BrandA,0,0,86.5,214.37,20.12,396.41,449
17/12/23,Automotive,BrandA,6,1,63.9,333.33,23.09,56.93,479
17/12/23,Automotive,BrandA,6,1,92.9,283.05,19.71,123.7,400
9/12/2023,Automotive,BrandA,5,0,17.1,346.97,11.35,134.83,28
5/12/2023,Automotive,BrandA,1,0,78.4,434.7,20.91,67.83,485
1/12/2023,Automotive,BrandA,4,0,46.5,232.5,45.43,50.98,192
1/12/2023,Automotive,BrandA,4,0,91.8,304.85,29.08,443.7,309
27/11/23,Automotive,BrandA,0,0,35,198.81,10.42,292.82,258
27/11/23,Automotive,BrandA,0,0,10.5,446.74,37.4,286.31,113
23/11/23,Automotive,BrandA,3,0,9.1,218.14,18.45,332.81,85
23/11/23,Automotive,BrandA,3,0,22,244.02,12.53,460.75,474
23/11/23,Automotive,BrandA,3,0,92,347.61,45.12,357.56,255
19/11/23,Automotive,BrandA,6,1,33.9,320.73,13.79,433.57,446
15/11/23,Automotive,BrandA,2,0,10.4,259.22,27.84,42.77,216
11/11/2023,Automotive,BrandA,5,0,8.1,64.06,32.78,233.46,178
11/11/2023,Automotive,BrandA,5,0,68.1,404.79,5.98,351.94,214
11/11/2023,Automotive,BrandA,5,0,35.6,190.01,18.45,255.42,442
7/11/2023,Automotive,BrandA,1,0,73.7,291.08,26.92,420.29,170
30/10/23,Automotive,BrandA,0,0,82.1,195.1,19.99,123.37,420
22/10/23,Automotive,BrandA,6,1,87.4,171.92,49.43,371.57,156
14/10/23,Automotive,BrandA,5,0,70.5,213.73,18.9,282.43,69
14/10/23,Automotive,BrandA,5,0,60,316.41,44.92,175.2,359
6/10/2023,Automotive,BrandA,4,0,89.6,142.56,35.7,405.51,377
2/10/2023,Automotive,BrandA,0,0,58.7,354.46,28.54,255.61,65
2/10/2023,Automotive,BrandA,0,0,54.4,304.95,26.07,326.79,298
28/09/23,Automotive,BrandA,3,0,72.8,431.35,36.89,195.69,12
28/09/23,Automotive,BrandA,3,0,35.3,191.07,11.44,185.66,42
28/09/23,Automotive,BrandA,3,0,91.9,80.44,27.21,282,441
24/09/23,Automotive,BrandA,6,1,38.4,193.54,14.13,149.28,253
24/09/23,Automotive,BrandA,6,1,48.7,77.04,26.72,470.18,56
20/09/23,Automotive,BrandA,2,0,42.5,428.59,41.81,452.08,183
16/09/23,Automotive,BrandA,5,0,14.5,328.89,15.39,430.55,458
16/09/23,Automotive,BrandA,5,0,99.4,173.09,38.97,150.46,438
16/09/23,Automotive,BrandA,5,0,88.7,192.07,47.33,353.9,401
16/09/23,Automotive,BrandA,5,0,98.8,138.35,6.41,234.5,212
12/9/2023,Automotive,BrandA,1,0,99.9,376.76,42.49,246.5,203
4/9/2023,Automotive,BrandA,0,0,83.2,211.9,23.85,125.78,90
31/08/23,Automotive,BrandA,3,0,96.1,393.92,34.39,66.4,416
23/08/23,Automotive,BrandA,2,0,86.2,181.45,13.53,69.69,285
23/08/23,Automotive,BrandA,2,0,31.1,441.44,49.28,450.6,17
19/08/23,Automotive,BrandA,5,0,45.4,257.24,20.14,129.81,158
19/08/23,Automotive,BrandA,5,0,19.3,465.34,32.77,225.16,354
15/08/23,Automotive,BrandA,1,0,22.2,124.9,8.98,329.65,241
15/08/23,Automotive,BrandA,1,0,46.4,166.54,30.03,400.33,96
15/08/23,Automotive,BrandA,1,0,15.7,424.84,16.29,125.38,123
15/08/23,Automotive,BrandA,1,0,45.1,231.67,23.32,415.99,231
